name,album_title,notes
The Smiths,Louder Than Bombs,
Spirit,The Family That Plays Together,
Steely Dan,Gaucho,
Steely Dan,Greatest Hits,
Steely Dan,Katy Lied,
Steely Dan,Aja,
"Stevens, Cat",Greatest Hits,
"Stevens, Cat",Foreigner,
Tame Impala,Currents,
The Three Suns,At the Candlelight Café,
Traffic,Best of Traffic,
Traffic,John Barleycorn Must Die,
The Turtles,Happy Together,
Various,The Greatest Jazz Concert in the World,
Various,Dances of the Renaissance,
Various,Gothic and Renaissance Dances,
Various,West Side Story Soundtrack,
Various,20 Rockin' Originals,
Various,West Side Story Movie Soundtrack,
Various,The Sound of Music Soundtrack,
Various,Bach: The Complete Flute Sonatas,
"Waits, Tom",Small Change,
"Waits, Tom",Nighthawks at the Diner,
The Who,Who's Next,
"Williams, Vaughan",Vaughan Williams Concert,
"Yankovic, ""Weird Al""",In 3-D,
"Zappa, Frank",Hot Rats,
"Zappa, Frank",The Grand Wazoo,
"Zappa, Frank",Overnite Sensation,Duplicate copy
"Zappa, Frank",Lumpy Gravy,
"Zappa, Frank",The Grand Wazoo,Duplicate copy
"Zappa, Frank",Waka/Jawaka,
"Zappa, Frank",In New York,
"Zappa, Frank",You Are What You Is,
"Zappa, Frank",Bongo Fury,
"Zappa, Frank",The Man From Utopia,
"Zappa, Frank",Burnt Weeny Sandwich,
"Zappa, Frank",One Size Fits All,
"Zappa, Frank",Chunga's Revenge,
"Zappa, Frank",Freak Out!,
"Zappa, Frank",200 Motels,Bootleg
"Zappa, Frank",Uncle Meat,
"Zappa, Frank",Zoot Allures,
"Zappa, Frank",Roxy & Elsewhere,
"Zappa, Frank",Joe's Garage Act I,
"Zappa, Frank",Just Another Band From L.A.,
"Zappa, Frank",We're Only In It For the Money,
"Zappa, Frank",Apostrophe,
"Zappa, Frank",Fillmore East / June 1971,
"Zappa, Frank",Sleep Dirt,
"Zappa, Frank",Sheik Yerbouti,
"Zappa, Frank",Orchestral Favorites,
"Zappa, Frank",Weasels Ripped My Flesh,
"Zappa, Frank",Joe's Garage Acts II & III,
"Zappa, Frank",Studio Tan,
"Zappa, Frank",Absolutely Free,
"Zappa, Frank",200 Motels,
"Zevon, Warren",Excitable Boy,
"Zevon, Warren",Bad Luck Streak in Dancing School,
